id,Name,ReleaseDate,Director,Creator
1002585-blobtt0058548,Na Jaane KabseThe BlobSanta Claus Conquers the Martians,"18-Nov-11Aug 5, 1988 Wide14 November 1964 (USA)","Pammi SomalChuck Russell,Charles RussellNicholas Webster","Pammi Somal,Sonny SomalChuck Russell,Frank DarabontGlenville Mareth,Paul L. Jacobson"
brothers_karamazovtt0110475,Who's There? Kaun Hai Wah?The Brothers KaramazovThe Mask,"18-Nov-11Jun 1, 1957 Wide29 July 1994 (USA)","Ejaz AhmedRichard Brooks I,Richard BrooksChuck Russell","Wasim ShaikhRichard Brooks,Julius J. EpsteinMichael Fallon,Mark Verheiden"
1007600-flytt0117550,I Am SinghThe FlySanta with Muscles,"02-Dec-11Jul 16, 1958 Wide8 November 1996 (USA)",Puneet IssarKurt NeumannJohn Murlowski,"Peshaur Singh ThindJames ClavellJonathan Bond,Fred Mata"
1003756-cat_on_a_hot_tin_rooftt0084649,LankaCat on a Hot Tin RoofThe Secret of NIMH,"09-Dec-11Aug 19, 1984 Wide2 July 1982 (USA)","Maqbool KhanJack Hofsis,Jack HofsissDon Bluth","Robert C. O'Brien,Don Bluth"
house_of_flying_daggerstt0804452,Ye Stupid PyarHouse of Flying DaggersBratz,"09-Dec-11Dec 3, 2004 Wide3 August 2007 (USA)","Rakesh JainAndy Lau,Anita Mui,Dandan Song,Yimou Zhang,Song Dandan,Takeshi Kaneshiro,Ziyi ZhangSean McNamara","M.L. Khurana,Rakesh JainBin Wang,Yimou ZhangSusan Estelle Jansen,Adam De La Peña"
1007602-flytt0118539,Jo Hum ChaheinThe Fly3 Ninjas: High Noon at Mega Mountain,"16-Dec-11Aug 15, 1986 Wide18 June 1998 (Australia)",Pawan GillDavid CronenbergSean McNamara,"Aman GillDavid Cronenberg,Charles Edward Pogue,Charles E. PogueSean McNamara,Jeff Phillips"
tonka-1997tt1302067,Pappu Can't Dance SaalaTonkaYogi Bear,"16-Dec-11Jun 4, 1997 Wide17 December 2010 (USA)",Saurabh ShuklaJean-Hugues AngladeEric Brevig,"Sameer Nair, Ravindra SinghJean-Hugues AngladeJennifer Ventimilia,Joshua Sternin"
the-blobtt0133189,FaraarThe BlobSLC Punk!,"16-Dec-11Sep 12, 1958 Wide16 April 1999 (USA)","Santosh GuptaRussell S. Doughten Jr.,Irvin S. Yeaworth Jr.,Irvin Shortess Yeaworth, Jr.James Merendino","Santosh GuptaKate Phillips,Theodore Simonson,Kay LinakerJames Merendino"
1003755-cat_on_a_hot_tin_rooftt2946762,"With Love, Delhi!Cat on a Hot Tin RoofGod Bless the Child","16-Dec-11Sep 20, 1958 Wide7 August 2015 (USA)","Nikhil Singh,Ashutosh MatelaRichard Brooks (VI),Richard Brooks I,Richard BrooksRobert Machoian,Rodrigo Ojeda-Beck","Manav Vigg,Ashish Lal,Ashutosh MatelaRichard Brooks,James PoeRebecca Graham,Robert Machoian"
south_pacifictt4264754,Don Ke Baad Kaun?South PacificIn My Father's House,"23-Dec-11Mar 19, 1958 Limited16 April 2015 (USA)","Vijay SaxenaJoshua LoganRicki Stern,Anne Sundberg","Vijay SaxenaPaul Osborn,Richard Rodgers,Oscar Hammerstein II,Joshua Logan,James A. MichenerRicki Stern,Anne Sundberg"
houseboattt4190906,Saheb Biwi Aur Gangster ReturnsHouseboatThank You for Playing,"08-Mar-13Nov 19, 1958 Wide17 April 2015 (USA)","Tigmanshu DhuliaMelville ShavelsonDavid Osit,Malika Zouhali-Worrall","Tigmanshu Dhulia,Nitin Tej Ahuja,Rahul MittraJack Rose,Melville ShavelsonDavid Osit,Malika Zouhali-Worrall"
gladiator_days_anatomy_of_a_prison_murdertt2980626,Kya Yahi Sach HaiGladiator Days: Anatomy of a Prison MurderTwinsters,"30-Dec-11Mar 10, 2002 Wide17 July 2015 (USA)","Y.P. SinghMarc LevinSamantha Futerman,Ryan Miyamoto",Pushpa SinghSamantha Futerman
i_dont_want_to_be_borntt4335520,BandaaI Don't Want to Be Born (The Baby)(It Lives Within Her)(Sharon's Baby)CODE: Debugging the Gender Gap,"13-May-11Aug 30, 1975 Wide19 April 2015 (USA)",Kkailash MaliPeter SasdyRobin Hauser Reynolds,Jool Paranjpe
i_want_to_live_1983tt0085267,Me Mamu & 7I Want to Live!Born in Flames,"27-May-11May 9, 1983 Wide3 November 1983 (Australia)",Amit ChauhanDavid Lowell RichLizzie Borden,"Amit HotchandaniGordon Cotler,Don M. Mankiewicz,Nelson GiddingLizzie Borden,Ed Bowes"
anatomy-of-a-murdertt1692928,Www.Sheetal Bhabhi.comAnatomy of a MurderThe Last Lions,"27-May-11Jul 1, 1959 Wide18 February 2011 (USA)",C.M. JainOtto PremingerDereck Joubert,Mahendra DhariwalWendell MayesDereck Joubert
anne_franks_diarytt2350608,College CampusAnne Frank's DiaryRevolution,"27-May-11Oct 22, 1999 Wide22 April 2015 (USA)",Atul SrivaJulian WolffRob Stewart,"Amit ShrivastavaDaniel Holender,Julian WolffRob Stewart"
771404743tt1558972,5ters: Castle of Dark MasterThe Diary Of Anne FrankKings of Pastry,"08-Jul-11Nov 17, 1980 WideNovember 2009 (Netherlands)","G. VenugopalBoris SagalChris Hegedus,D.A. Pennebaker",
ben_hur_a_tale_of_the_christ_1925tt2177180,The MurdererBen-Hur: A Tale of the ChristA Year in Burgundy,"31-Aug-11Jan 1, 1926 Wide5 November 2013 (USA)",Raj N. SippyFred NibloDavid Kennard,"Salim AftabLew Wallace,June Mathis,Carey Wilson,Bess MeredythDavid Kennard"
i_want_to_livett0419434,Aadi ShaktiI Want to Live!American Hardcore,"30-Sep-11Jan 1, 1958 Wide22 September 2006 (USA)",DaduRobert WisePaul Rachman,"Shyam ChoudharyNelson Gidding,Don Mankiewicz,Don M. MankiewiczSteven Blush,Steven Blush"
diary_of_anne_franktt2974918,ModThe Diary of Anne FrankAlvin and the Chipmunks: The Road Chip,"14-Oct-11Mar 18, 1959 Wide23 December 2015 (USA)","Nagesh KukunoorGeorge Stevens,George Stevens Jr.Walt Becker","Nagesh Kukunoor,Elahe Hiptoola,Sujit Kumar SinghAnne Frank,Albert Hackett,Frances GoodrichRoss Bagdasarian,Janice Karman"
rio_bravott2948356,Yeh Ishq.....NahinRio BravoZootopia,"21-Oct-11Apr 4, 1959 Wide4 March 2016 (USA)","Syed Rushdi HasanHoward HawksByron Howard,Rich Moore","Syed Rushdi HasanJules Furthman,Leigh BrackettJared Bush,Phil Johnston"
1010417-imitation_of_lifett0413690,Tension DoooorImitation of LifeAnoosh of the Airways,"04-Nov-11Apr 30, 1959 Limited3 August 1999 (USA)",Ambrish SangalDouglas SirkJames Westby,"Raj Varma,Shanti Varma,Jai PrakashEleanore Griffin,Allan Scott,Allan G. Scott,Allan ScottJames Westby"
1082542-imitation_of_lifett0064107,Lady Dabangg Aaj BbhiImitation of LifeA Boy Named Charlie Brown,"04-Nov-11Nov 26, 1934 Wide4 December 1969 (USA)",Piyush ChakravartyJohn M. StahlBill Melendez,"P.D. GargFannie Hurst,William HurlbutCharles M. Schulz,Charles M. Schulz"
ben_hur_2016tt2709768,Love Ke Liye Kuch Bhi KaregaBen-HurThe Secret Life of Pets,"29-Jun-01Feb 26, 2016 Wide8 July 2016 (USA)","E. NiwasTimur BekmambetovChris Renaud,Yarrow Cheney","Nitin Manmohan,Ram Gopal VermaLew Wallace,John Ridley,Keith R. Clarke,Keith ClarkeKen Daurio,Brian Lynch"
771239978tt2277860,Yaar Meri ZindagiSleeping BeautyFinding Dory,"11-Apr-08Dec 2, 2011 Limited17 June 2016 (USA)","Ashok GuptaJulia LeighAndrew Stanton,Angus MacLane","Ashok GuptaJulia LeighAndrew Stanton,Andrew Stanton"
1019187-sleeping_beautytt2267968,Raat Gayi Baat GayiSleeping BeautyKung Fu Panda 3,"01-Jan-10Jan 29, 1959 Wide29 January 2016 (USA)","Eric Larson (II),Les Clark,Clyde Geronimi,Eric Larson,Eric Larson,Wolfgang ReithermanAlessandro Carloni,Jennifer Yuh","Rangita Pritish Nandy,Rajat Kapoor,Pritish NandyErdman Penner,Milt Banta,Winston Hibler,Ted Sears,Bill PeetJonathan Aibel,Glenn Berger"
1011256-journey_to_the_center_of_the_earthtt2567026,Bolo RaamJourney to the Center of the EarthAlice Through the Looking Glass,"01-Jan-10Dec 16, 1959 Wide27 May 2016 (USA)",Rakesh ChaturvediHenry LevinJames Bobin,"Goldy BhutaniWalter Reisch,Charles Brackett,Robert GunterLinda Woolverton"
benhurtt4266638,Accident On Hill RoadBen-HurKrisha,"01-Jan-10Nov 18, 1959 Wide16 March 2015 (USA)",Mahesh NairWilliam WylerTrey Edward Shults,"Nari HiraLew Wallace,Karl TunbergTrey Edward Shults"
some-like-it-hot-1939tt2096673,Bombay TalkiesSome Like It Hot (Rhythm Romance)Inside Out,"03-May-13May 19, 1939 Wide19 June 2015 (USA)","George ArchainbaudPete Docter,Ronnie Del Carmen","Ashi DuaWilkie Mahoney,Lewis R. FosterPete Docter,Ronnie Del Carmen"
10008588-journey_3dtt2393805,Haal - E - DilJourney to the Center of the EarthGabriel,"20-Jun-08Jul 11, 2008 Wide19 June 2015 (USA)",Anil DevganEric BrevigLou Howe,"Kumar MangatMichael D. Weiss,Jennifer Flackett,Mark LevinLou Howe,Lou Howe"
some_like_it_hottt3369806,AamirSome Like It HotMax,"06-Jun-08Mar 29, 1959 Wide26 June 2015 (USA)",Raj Kumar GuptaBilly WilderBoaz Yakin,"Ronnie ScrewvalaI. A. L. Diamond,Billy Wilder,I.A.L. DiamondBoaz Yakin,Sheldon Lettich"
it_happened_to_janett0175490,Ek Tha TigerIt Happened to JaneBloody Mary,"15-Aug-12Aug 5, 1959 WideFebruary 1996 (USA)",Kabir KhanRichard QuineJames Westby,Aditya ChopraNorman KatkovJames Westby
what-ever-happened-to-baby-janett2245084,Hello Hum Lallann Bol Rahe HainWhat Ever Happened to Baby Jane?Big Hero 6,"15-Jan-10Oct 31, 1960 Limited7 November 2014 (USA)","Dilip ShuklaRobert AldrichDon Hall,Chris Williams","Nazim Hassan RizviHenry Farrell,Lukas HellerJordan Roberts,Robert L. Baird"
barking-dogs-never-bitett0345950,Bhavnao Ko SamjhoFlandersui Gae (Barking Dogs Never Bite) (Flanders' Dog)The SpongeBob SquarePants Movie,"15-Jan-10Feb 19, 2000 Wide19 November 2004 (USA)","Sunil PalJoon-ho BongStephen Hillenburg,Mark Osborne","Sunil PalStephen Hillenburg,Stephen Hillenburg"
1018702-shaggy_dogtt0892782,The Waiting RoomThe Shaggy DogMonsters vs. Aliens,"15-Jan-10Mar 19, 1959 Wide27 March 2009 (USA)","Maneej PremnathCharles BartonRob Letterman,Conrad Vernon","Sunil DoshiBill Walsh,Lillie HaywardMaya Forbes,Wallace Wolodarsky"
shaggy_dogtt2357291,Pangaa GangThe Shaggy DogRio 2,"15-Jan-10Mar 10, 2006 Wide11 April 2014 (USA)",Pankaj SharmaBrian RobbinsCarlos Saldanha,"Smita Maroo,Pankaj SharmaTom Brady,Cormac Wibberley,Marianne Wibberley,Geoff Rodkey,Jack AmielDon Rhymer,Carlos Kotkin"
the_nuns_storytt2262227,Road To SangamThe Nun's StoryThe Book of Life,"29-Jan-10Jul 18, 1959 Wide17 October 2014 (USA)",Amit RaiFred ZinnemannJorge R. Gutiérrez,"Amit ChhedaKathryn C. Hulme,Robert AndersonJorge R. Gutiérrez,Douglas Langdale"
spine_tingler_the_william_castle_storytt0864835,StrikerSpine Tingler: The William Castle StoryMr. Peabody & Sherman,"05-Feb-10Nov 8, 2007 Wide7 March 2014 (USA)",Chandan AroraJeffrey SchwarzRob Minkoff,"Chandan AroraJeffrey SchwarzJay Ward,Craig Wright"
suddenly_last_summer_1993tt1142977,"Phaans - Ek Jasoos Ki KahaniSuddenly, Last SummerFrankenweenie","05-Feb-10Jan 6, 1993 Wide5 October 2012 (USA)",A. ChitranshRichard EyreTim Burton,"Jawahar JairathLeonard Ripps,Tim Burton"
tinglertt1623288,London CallingThe TinglerParaNorman,"05-Feb-10Jul 29, 1959 Limited17 August 2012 (USA)","B. SubhashWilliam CastleChris Butler,Sam Fell","B. SubhashRobb White,Robb ShiteChris Butler"
1010034-house_on_haunted_hilltt0358082,Pyaar Kaa FundaHouse On Haunted HillRobots,"12-Feb-10Feb 17, 1959 Wide11 March 2005 (USA)","Monazir HasainWilliam Castle,William MaloneChris Wedge,Carlos Saldanha","Ramdas PoojariRobb WhiteRon Mita,Jim McClain"
1093881-house_on_haunted_hilltt0114367,ClickHouse on Haunted HillScreamers,"19-Feb-10Oct 29, 1999 Wide26 January 1996 (USA)",Sangeeth SivanWilliam MaloneChristian Duguay,"Sangeeth Sivan,Sanjay Ahluwalia,Vinay ChokseyRobb White,Dick BeebePhilip K. Dick,Dan O'Bannon"
suddenly_last_summertt0424095,"Aakhari DecisionSuddenly, Last SummerFlushed Away","19-Feb-10Dec 22, 1959 Wide3 November 2006 (USA)","Deepak Kumar BandhuJoseph L. MankiewiczDavid Bowers,Sam Fell","A. SinghGore Vidal,Tennessee WilliamsDick Clement,Ian La Frenais"
1094164-dog_of_flanderstt0120587,Aahat - Ek Ajib KahaniA Dog of FlandersAntz,"26-Feb-10Aug 7, 1999 Wide2 October 1998 (USA)","Kishore RegeKevin BrodieEric Darnell,Tim Johnson","Kevin Brodie,Robert SingerTodd Alcott,Chris Weitz"
shake_hands_with_the_devil_the_journey_of_romeo_dallairett0327084,ShreeShake Hands with the Devil: The Journey of Romeo DallaireOver the Hedge,"26-Apr-13Apr 2, 2005 Wide19 May 2006 (USA)","Peter RaymontTim Johnson,Karey Kirkpatrick","Roméo DallaireLen Blum,Lorne Cameron"
rubys_bucket_of_bloodtt0120623,RokkkRuby's Bucket of BloodA Bug's Life,"05-Mar-10Dec 1, 2001 Wide25 November 1998 (USA)","Rajesh RanshingePeter WernerJohn Lasseter,Andrew Stanton","Krishan Choudhary,Vipin Jain,Sumeet SehgalJulie HebertJohn Lasseter,Andrew Stanton"
shake_hands_with_the_deviltt0351283,Thanks MaaShake Hands With the DevilMadagascar,"05-Mar-10Jun 24, 1959 Wide27 May 2005 (USA)","Irfan KamalMichael AndersonEric Darnell,Tom McGrath","Mark Burton,Billy Frolick"
10008864-shake_hands_with_the_deviltt1646971,Hello ZindagiShake Hands with the DevilHow to Train Your Dragon 2,"05-Mar-10Oct 29, 2010 Limited13 June 2014 (USA)",Raja UnnithanRoger SpottiswoodeDean DeBlois,"Amit GargMichael DonovanDean DeBlois,Cressida Cowell"
bucket_of_bloodtt0088763,Lage Raho PartnerA Bucket of BloodBack to the Future,"05-Mar-10Oct 21, 1959 Wide3 July 1985 (USA)",Kanti ShahRoger CormanRobert Zemeckis,"Charles B. GriffithRobert Zemeckis,Bob Gale"
1031459-lil_abnertt0198781,"Hide & SeekLi'l AbnerMonsters, Inc.","12-Mar-10Dec 11, 1959 Wide2 November 2001 (USA)","Shawn ArranhaMelvin FrankPete Docter,David Silverman","Laxmi Singh,Apoorva LakhiaNorman Panama,Melvin FrankPete Docter,Jill Culton"
1012280-lil_abnertt1490017,Na Ghar Ke Na Ghaat KeLi'l AbnerThe Lego Movie,"12-Mar-10Nov 1, 1940 Wide7 February 2014 (USA)","Rahul AggarwalAlbert S. Rogell,Albert Rogell,Edward F. ClinePhil Lord,Christopher Miller","T.P. AggarwalCharles Kerr,Tyler JohnsonPhil Lord,Christopher Miller"
diakritiki_goiteia_ton_arsenikon_tt1049413,"SwahaDiakritiki goiteia ton arsenikon, , (The Mating Game)Up","12-Mar-10Nov 13, 1999 Wide29 May 2009 (USA)","Manoj SharmaOlga MaleaPete Docter,Bob Peterson","Praveen BhardwajPete Docter,Bob Peterson"
mating_gamett0910970,Trump CardThe Mating GameWALL·E,"12-Mar-10Apr 29, 1959 Wide27 June 2008 (USA)",Arshad KhanGeorge MarshallAndrew Stanton,"Reema GuptaWilliam RobertsAndrew Stanton,Pete Docter"
gidgettt0054953,LahoreGidgetThe Guns of Navarone,"19-Mar-10Jan 1, 1959 Wide22 June 1961 (USA)",Sanjay Puran Singh ChauhanPaul WendkosJ. Lee Thompson,"Vivek KhatkarGabrielle UptonAlistair MacLean,Carl Foreman"
north_to_alaskatt0275847,Idiot BoxNorth to AlaskaLilo & Stitch,"19-Mar-10Nov 7, 1960 Wide21 June 2002 (USA)","Sunanda MitraHenry HathawayDean DeBlois,Chris Sanders","Shivnarayan SinghClaude Binyon,John Lee Mahin,Martin Rackin,Wendell MayesChris Sanders,Chris Sanders"
1057862-swiss_family_robinsontt0046359,Mittal Vs MittalSwiss Family RobinsonStalag 17,"26-Mar-10Feb 8, 1940 Wide10 August 1953 (Brazil)",Karan RazdanEdward LudwigBilly Wilder,"Rajeev Kore,Dinesh ChughWalter Ferris,C. Graham Baker,Gene TowneBilly Wilder,Edwin Blum"
tcm_presents_psychott1080016,Prem Kaa GameTcm Presents PsychoIce Age: Dawn of the Dinosaurs,"26-Mar-10Sep 23, 2015 Limited1 July 2009 (USA)","Ashok KhenyAlfred HitchcockCarlos Saldanha,Mike Thurmeier","Ashok KhenyJoseph Stefano,Robert BlochPeter Ackerman,Michael Berg"
inherit-the-windtt0441773,My Friend Ganesha 3Inherit the WindKung Fu Panda,"26-Mar-10Mar 20, 1988 Wide6 June 2008 (USA)","Rajiv S. RuiaDavid GreeneMark Osborne,John Stevenson","Ajhia AcharyaJohn GayJonathan Aibel,Glenn Berger"
kidnap_2015tt0413267,Shortcut RomeoKidnapShrek the Third,"21-Jun-13Feb 26, 2016 Wide18 May 2007 (USA)","Susi GaneshLuis PrietoChris Miller,Raman Hui","Manjari Susi GaneshKnate GwaltneyWilliam Steig,Andrew Adamson"
1084964-psychott0298148,PankhPsychoShrek 2,"02-Apr-10Dec 4, 1998 Wide19 May 2004 (USA)","Sudipto ChattopadhyayGus Van SantAndrew Adamson,Kelly Asbury","Sanjay GuptaJoseph StefanoWilliam Steig,Andrew Adamson"
1070829-kidnappedtt0438097,The Great Indian ButterflyKidnappedIce Age: The Meltdown,"02-Apr-10Nov 5, 1995 Wide31 March 2006 (USA)",Sarthak DasguptaIvan PasserCarlos Saldanha,"Sanjay Gupta,Parth AroraJohn Goldsmith,Michael BarlowPeter Gaulke,Gerry Swallow"
lets_make_lovett0268380,HijackLet's Make LoveIce Age,"05-Sep-08Sep 1, 1960 Wide15 March 2002 (USA)","Kunal ShivdasaniGeorge CukorChris Wedge,Carlos Saldanha","Dinesh Vijan,Kunal ShivdasaniNorman Krasna,Hal KanterMichael J. Wilson,Michael Berg"
joes_apartmenttt0892791,The Japanese WifeJoe's ApartmentShrek Forever After,"09-Apr-10Jul 26, 1996 Wide21 May 2010 (USA)",Aparna SenJohn PaysonMike Mitchell,"Apurv Nagpal,Sanjiv GoenkaJohn PaysonWilliam Steig,Josh Klausner"
kidnapped_2011tt1300854,ApartmentKidnappedIron Man 3,"23-Apr-10Jun 17, 2011 Limited3 May 2013 (USA)",Jag MundhraMiguel Ángel VivasShane Black,"Nari HiraMiguel Ángel Vivas,Javier GarcíaDrew Pearce,Shane Black"
1010555-inherit_the_windtt1663662,City Of Gold - Mumbai 1982: Ek Ankahi KahaniInherit the WindPacific Rim,"23-Apr-10Nov 1, 1960 Wide12 July 2013 (USA)",Mahesh ManjrekarStanley KramerGuillermo del Toro,"Arun RangachariNathan E. Douglas,Harold Jacob Smith,Ned YoungTravis Beacham,Guillermo del Toro"
1001115-apartmenttt0499549,Muskurake Dekh ZaraThe ApartmentAvatar,"23-Apr-10Jun 15, 1960 Wide18 December 2009 (USA)",P. Som ShekarBilly WilderJames Cameron,"P. Som ShekarBilly Wilder,I.A.L. DiamondJames Cameron"
1090102-inherit_the_windtt1136608,Crime PartnerInherit the WindDistrict 9,"09-Apr-10May 29, 1999 Wide14 August 2009 (USA)",Aditya KaushikDaniel PetrieNeill Blomkamp,"Neha - AnjanaNedrick Young,Ned Young,Harold Jacob SmithNeill Blomkamp,Terri Tatchell"
man_aparttt0770828,Kuch KariyeA Man ApartMan of Steel,"23-Apr-10Apr 4, 2003 Wide14 June 2013 (USA)",Jagbir DahiyaF. Gary GrayZack Snyder,"Jagbir DahiyaChristian Gudegast,Paul ScheuringDavid S. Goyer,David S. Goyer"
1020736-swiss_family_robinsontt1228705,Mumbai 118Swiss Family RobinsonIron Man 2,"23-Apr-10Dec 21, 1960 Wide7 May 2010 (USA)",Umesh GandhiKen AnnakinJon Favreau,"Umesh GandhiLowell S. HawleyJustin Theroux,Stan Lee"
the_magnificent_seven_2016tt1318514,Bird IdolThe Magnificent SevenRise of the Planet of the Apes,"23-Apr-10Sep 23, 2016 Wide5 August 2011 (USA)",Jyotin GoelAntoine FuquaRupert Wyatt,"Nic PizzolattoRick Jaffa,Amanda Silver"
psychott1408101,ChasePsychoStar Trek Into Darkness,"30-Apr-10Jun 16, 1960 Wide16 May 2013 (USA)",Jag MundhraAlfred HitchcockJ.J. Abrams,"Anuj SaxenaJoseph StefanoRoberto Orci,Alex Kurtzman"
magnificent_seven_ridett0116629,Aakhri DealThe Magnificent Seven Ride!Independence Day,"15-Mar-13Aug 1, 1972 Wide3 July 1996 (USA)",Paul - VenuGeorge McCowanRoland Emmerich,"Naser JamalArthur RoweDean Devlin,Roland Emmerich"
1013077-magnificent_seventt1270798,Bumm Bumm BoleThe Magnificent SevenX-Men: First Class,"14-May-10Jan 1, 1960 Wide3 June 2011 (USA)",PriyadarshanJohn SturgesMatthew Vaughn,"Walter Bernstein,Walter Newman,William RobertsAshley Miller,Zack Stentz"
1041911-unforgiventt0382932,Admission OpenUnforgivenRatatouille,"14-May-10Aug 3, 1992 Wide29 June 2007 (USA)","K.D. SatyamClint EastwoodBrad Bird,Jan Pinkava","Mohd. Israr AnsariDavid Webb PeoplesBrad Bird,Jan Pinkava"
the_fall_of_the_house_of_usher_1960tt0317705,Do Dilon Ke Khel MeinThe Fall of the House of UsherThe Incredibles,"14-May-10May 22, 1960 Limited5 November 2004 (USA)",Akash PandeyRoger CormanBrad Bird,"Wijahat Kareem,Surheeta KareemRichard MathesonBrad Bird"
hot_tub_time_machinett1216475,VroomHot Tub Time MachineCars 2,"14-May-10Mar 26, 2010 Wide24 June 2011 (USA)","Savin TuscanoSteve PinkJohn Lasseter,Brad Lewis","Sameer SabnisJosh Heald,John Morris,Sean AndersJohn Lasseter,Brad Lewis"
1016512-pollyannatt1691917,Ashok Chakra Tribute To Real HeroesPollyannaPlanes,"28-May-10May 19, 1960 Wide9 August 2013 (USA)","S.P. MuneshwarDavid Swift (II),David SwiftKlay Hall","Priyanka VermaDavid SwiftJohn Lasseter,Klay Hall"
el-this-strange-passion-tormentstt0317219,Ek Second... Jo Zindagi Badal De?El (This Strange Passion) (Torments)Cars,"11-Jun-10Jul 9, 1953 Wide9 June 2006 (USA)","Partho GhoshLuis BuñuelJohn Lasseter,Joe Ranft","Rachna Sunil SinghLuis AlcorizaJohn Lasseter,Joe Ranft"
the_young_the_evil_and_the_savagett0086190,"The CampThe Young, the Evil and the SavageStar Wars: Episode VI - Return of the Jedi","11-Jun-10Aug 14, 1968 Wide25 May 1983 (USA)",Nitin MahadarAntonio MargheritiRichard Marquand,"Sudesh BhosleMario Bava,Franco Bottari,Antonio MargheritiLawrence Kasdan,George Lucas"
alamott0077742,Krantiveer - The RevolutionThe AlamoInteriors,"25-Jun-10Apr 9, 2004 Wide2 August 1978 (USA)",Mehul KumarJohn Lee HancockWoody Allen,"Shekhar ShettyLeslie Bohem,Stephen Gaghan,John Lee Hancock,John SaylesWoody Allen"
tcm_presents_west_side_storytt0461770,Mr. Singh Mrs. MehtaTcm Presents West Side StoryEnchanted,"25-Jun-10Nov 9, 2011 Limited21 November 2007 (USA)","Praveen BhardwajJerome Robbins,Robert WiseKevin Lima","Manu KumaranErnest Lehman,Arthur Laurents,Jerome RobbinsBill Kelly"
1061401-village_of_the_damnedtt1587310,Www.Love.comVillage of the DamnedMaleficent,"25-Jun-10Apr 28, 1995 Wide30 May 2014 (USA)",Vinod MukhiJohn CarpenterRobert Stromberg,"John Wyndham,Stirling Silliphant,David HimmelsteinLinda Woolverton,Charles Perrault"
young_savagestt0140352,BengalooredThe Young SavagesThe Insider,"25-Jun-10May 24, 1961 Wide5 November 1999 (USA)",Swaroop KanchiJohn FrankenheimerMichael Mann,"Swaroop KanchiEdward Anhalt,J.P. MillerMarie Brenner,Eric Roth"
1012514-little_shop_of_horrorstt0094291,Kis Hudh Tak...The Little Shop of HorrorsWall Street,"20-Aug-10Sep 14, 1960 Wide11 December 1987 (USA)",Tarun DhanrajgirRoger CormanOliver Stone,"Tarun DhanrajgirCharles B. GriffithStanley Weiser,Oliver Stone"
tormentedtt0292506,AntardwandTormentedThe Recruit,"27-Aug-10Sep 22, 1960 Limited31 January 2003 (USA)",Sushil RajpalBert I. GordonRoger Donaldson,"Sushil RajpalBert I. Gordon,George Worthing YatesRoger Towne,Kurt Wimmer"
10011243-tormentedtt0102138,Madholal Keep WalkingTormentedJFK,"27-Aug-10May 22, 2009 Wide20 December 1991 (USA)",Jai TankJon WrightOliver Stone,"Apurva TankStephen PrenticeOliver Stone,Zachary Sklar"
west_side_storytt1175491,GumshudaWest Side StoryW.,"27-Aug-10Oct 18, 1961 Wide17 October 2008 (USA)","Ashok VishwanathDavid Winters,George Chakiris,Natalie Wood,Ned Glass,Richard Beymer,Rita Moreno,Russ Tamblyn,Simon Oakland,Tony Mordente,Tucker Smith,William Bramley,Robert Wise,Jerome RobbinsOliver Stone",Sudhir D. AhujaErnest LehmanStanley Weiser
house_of_ushertt0417217,Soch LoHouse of UsherTwo for the Money,"27-Aug-10May 9, 2008 Wide7 October 2005 (USA)",Sartaj Singh PannuDavid DeCoteauD.J. Caruso,Karanbir Singh PannuSimon SavoryDan Gilroy
1012515-little_shop_of_horrorstt0390022,The Film Emotional AtyacharLittle Shop of HorrorsFriday Night Lights,"03-Sep-10Dec 19, 1986 Wide8 October 2004 (USA)",Akshay ShereFrank OzPeter Berg,"Vijay Gutte, Howard AshmanBuzz Bissinger,David Aaron Cohen"
1000560-alamott0115907,MallikaThe AlamoCity Hall,"03-Sep-10Oct 24, 1960 Wide16 February 1996 (USA)",Wilson LouisJohn WayneHarold Becker,"Wilson LouisJames Edward GrantKen Lipper,Paul Schrader"
1021500-time_machinett0106519,Life ExpressThe Time MachineCarlito's Way,"17-Sep-10Aug 17, 1960 Wide12 November 1993 (USA)",Anup DasGeorge PalBrian De Palma,"Sanjay KalateDavid DuncanEdwin Torres,David Koepp"
13_ghoststt0118971,Humraah - The Traitor13 GhostsThe Devil's Advocate,"25-Mar-11Aug 5, 1960 Wide17 October 1997 (USA)",V.K. SinghWilliam CastleTaylor Hackford,"V.K. SinghRobb White,Robb ShiteAndrew Neiderman,Jonathan Lemkin"
thirteen_ghoststt0191397,For RealThirteen Ghosts (13 Ghosts)The Replacements,"17-Sep-10Oct 23, 2001 Wide11 August 2000 (USA)",Sona JainSteve BeckHoward Deutch,"Sona JainNeal Marshall,Neal Marshall Stevens,Richard D'Ovidio,Steve Beck,Neal StevensVince McKewin"
1022373-unforgiventt1034331,Ek AadatThe UnforgivenRighteous Kill,"24-Sep-10Apr 6, 1960 Wide12 September 2008 (USA)",Prakash SainiJohn HustonJon Avnet,"Mukesh VasaaniAlan Le May,Ben MaddowRussell Gewirtz"
1112951-time_machinett0059742,3GThe Time MachineThe Sound of Music,"15-Mar-13Mar 8, 2002 Wide29 March 1965 (UK)","Shantanu Ray Chhibber,Sheershak AnandSimon Wells,Gore VerbinskiRobert Wise","Sunil Lulla,Viki RajaniJohn LoganGeorge Hurdalek,Howard Lindsay"
